营销产品,业务阶段,前置组件入口,前置调用条件（被调用前至少满足）,进入组件,进入组件内部处理逻辑,说明
湖北农信-公积金贷款（线上）,1、客户注册认证,渠道前端,"1. 已选定注册渠道与入口（或外部平台标识）；
2. 具备最小身份标识（手机号/证件号等）；
3. 系统管理中已配置对应注册/认证策略；
4. 如需人脸/短信等，多因子策略已生效",用户注册组件（渠道端）,"用户注册组件 → 
客户管理组件（临时客户）、系统管理/消息/人脸/安全","1、先注册认证再申请（个人客户）；
2、客户管理组件（办贷端）提供【临时客户创建接口】；"
湖北农信-公积金贷款（线上）,2、查询产品信息,渠道前端,"1. 产品管理中已有可售产品；
2. 客户标签/白名单数据可用；
3. 能识别渠道/入口（channel/scene）及营销活动（campaign/qrCodeId，可选）；
4. 调用方在初始化请求中传入产品/业务标识及页面类型（如 PRE_CREDIT_APPLY/CREDIT_APPLY/LOAN_APPLY/DISBURSE_APPLY 等）",营销方案（产品）管理组件,"营销方案管理组件 → 
产品管理组件、利率与费用组件、额度管理组件、合同管理组件、预授信组件","1、展示产品列表/详情、利率优惠券、额度/合同可用额，并通过预授信组件展示预计可贷款金额，通过产品管理组件展示产品最高可贷款金额；
2、本阶段不做黑/白名单拦截，是否可发起申请由后续申请前规则决定；"
湖北农信-公积金贷款（线上）,3、客户发起贷款申请,营销方案（产品）管理组件,"1. 调用时须能唯一识别客户：要么已有登录态和客户标识，要么在申请过程中可通过用户注册组件 + 客户管理组件创建临时客户；
2. 若客户类型为对公，则在发起贷款/用信申请前必须已完成对公客户注册与基础认证（由用户注册组件 + 客户管理组件完成）；
3. 已选定贷款/用信产品及目标授信/额度项（如适用）；
4. 营销方案（产品）管理组件中已配置贷款申请要素与规则；
5. 如产品要求“先预授信/先授权”，需能通过预授信组件或授权准入组件验证对应前置条件，否则可按“直接贷款”模式进入进件",贷款申请组件（渠道端）,"贷款申请组件 → 
营销方案管理组件（申请页初始化）→ 
风控组件（申请前规则包：反欺诈、黑/白名单、产品参数准入，按产品配置）→ 
客户管理组件（补录）→ 
客户授权准入组件 → 
授权配置管理组件 → 
合同管理组件（授权协议可展示内容）→ 
消息/人脸 →
签约组件（授权）→ 
进件管理组件","客户需要先完成注册认证；
申请页初始化由营销方案管理组件提供；
提交前按产品配置执行申请前规则包：未通过则在本阶段直接拦截（不创建进件、也不进入授权）；
通过后才进入授权准入与后续进件；
授权协议展示由合同管理提供；
申请内授权"
湖北农信-公积金贷款（线上）,4、进件接收,贷款申请组件（渠道端）,"1. 传入的申请/进件数据完整（至少包含产品、进件类型、客户标识、基本业务字段）；
2. 对应产品在同步策略表中已有配置；
3. 进件状态机定义完整；
4. 如产品在授权配置中要求「先授权」，则在进件创建或进入关键状态前须可基于授权配置管理组件 + 授权记录校验该前置条件",进件管理组件,"进件管理组件 → 
授权配置管理组件（查询进件阶段规则包 ID） →
客户管理组件→ 
风控组件（准入，规则包由授权配置提供）→
[R1]签约组件（生成签约任务）
[R3]进件管理组件（转线下，按配置办贷任务类型）","1、晚同步：进件环节至落地进件信息，不同步/评级/授信/用信信息；
2、按业务环阶段“产品+贷款进件阶段”查询当前需要执行的规则包；
3、R1 转线下生成签约任务"
湖北农信-公积金贷款（线上）,（可选）客户发起提额申请,营销方案（产品）管理组件,"1. 调用时须能唯一识别客户：要么已有登录态和客户标识，要么在申请过程中可通过用户注册组件 + 客户管理组件创建临时客户；
2. 若客户类型为对公，则在发起贷款/用信申请前必须已完成对公客户注册与基础认证（由用户注册组件 + 客户管理组件完成）；
3. 已选定贷款/用信产品及目标授信/额度项（如适用）；
4. 营销方案（产品）管理组件中已配置贷款申请要素与规则；
5. 如产品要求“先预授信/先授权”，需能通过预授信组件或授权准入组件验证对应前置条件，否则可按“直接贷款”模式进入进件
",提额组件（渠道端）,"提额组件 → 
营销方案管理组件（申请页初始化）→ 
风控组件（申请前规则包：反欺诈、黑/白名单、产品参数准入，按产品配置）→ 
消息/人脸 →
签约组件（授权）→ 
进件管理组件","客户需要先完成注册认证；
客户需要有前置的贷款申请；
申请页初始化由营销方案管理组件提供；
提交前按产品配置执行申请前规则包：未通过则在本阶段直接拦截（不创建进件、也不进入授权）；
通过后才进入授权准入与后续进件；
授权协议展示由合同管理提供；
申请内授权"
湖北农信-公积金贷款（线上）,（可选）提额进件接收,提额组件（渠道端）,"1. 传入的申请/进件数据完整（至少包含产品、进件类型、客户标识、基本业务字段）；
2. 对应产品在同步策略表中已有配置；
3. 进件状态机定义完整；
4. 如产品在授权配置中要求「先授权」，则在进件创建或进入关键状态前须可基于授权配置管理组件 + 授权记录校验该前置条件
5、需要有前置的授信申请或贷款申请",进件管理组件,"进件管理组件 → 
授权配置管理组件（查询进件阶段规则包 ID） →
客户管理组件→ 
风控组件（准入，规则包由授权配置提供）→
[R1]签约组件（生成签约任务）
[R3]进件管理组件（转线下，按配置办贷任务类型）","1、晚同步：进件环节至落地进件信息，不同步/评级/授信/用信信息；
2、按业务环阶段“产品+贷款进件阶段”查询当前需要执行的规则包；
3、R1 转线下生成签约任务"
湖北农信-公积金贷款（线上）,5、客户在线签借款合同,渠道前端,"1. 已存在有效的签约任务或可构造待签任务的上下文（合同实例 ID 或生成条件、进件 ID、客户/关联人信息、产品与任务类型）；
2. 如产品要求签约前风控/授权，需可获取对应规则包 ID 或在签约流程中触发",签约组件（渠道端）,"签约组件 → 
合同管理组件（可展示内容）→ 
消息/人脸/安全 → 
合同管理组件（签署回写）→ 
客户/用信/授信/评级/合同管理组件（SIGNED 时同步）→ 
进件管理组件（状态）",1、晚同步：合同签订完成，同步/评级/授信/用信信息，更新进件状态
湖北农信-公积金贷款（线上）,6、客户发起提款申请,渠道前端,"1. 客户已签署必要合同/放款申请书（视产品而定）；
2. 用信管理组件中存在可提款的用信/合同记录；
3. 额度管理组件中有可用额度；
4. 系统管理中已配置提款前安全验证策略（短信/人脸/密码等）",放款组件（渠道端）,"放款组件（渠道）→ 
用信管理/额度管理/合同管理组件 → 
安全/人脸/消息 → 
签约组件（放款申请书）→ 
放款组件（办贷）→ 
核心系统 → 
进件管理组件","1、一个借款合同项下支持多次提款
2、提款前风控/验证按产品配置
3、提款环节需要签订放款申请书
4、更新进件状态
"
湖北农信-公积金贷款（线上转线下）,1、客户注册认证,渠道前端,"1. 已选定注册渠道与入口（或外部平台标识）；
2. 具备最小身份标识（手机号/证件号等）；
3. 系统管理中已配置对应注册/认证策略；
4. 如需人脸/短信等，多因子策略已生效",用户注册组件（渠道端）,"用户注册组件 → 
客户管理组件（临时客户）、系统管理/消息/人脸/安全","1、先注册认证再申请（个人客户）；
2、客户管理组件（办贷端）提供【临时客户创建接口】；"
湖北农信-公积金贷款（线上转线下）,2、查询产品信息,渠道前端,"1. 产品管理中已有可售产品；
2. 客户标签/白名单数据可用；
3. 能识别渠道/入口（channel/scene）及营销活动（campaign/qrCodeId，可选）；
4. 调用方在初始化请求中传入产品/业务标识及页面类型（如 PRE_CREDIT_APPLY/CREDIT_APPLY/LOAN_APPLY/DISBURSE_APPLY 等）",营销方案（产品）管理组件,"营销方案管理组件 → 
产品管理组件、利率与费用组件、额度管理组件、合同管理组件、预授信组件","1、展示产品列表/详情、利率优惠券、额度/合同可用额，并通过预授信组件展示预计可贷款金额，通过产品管理组件展示产品最高可贷款金额；
2、本阶段不做黑/白名单拦截，是否可发起申请由后续申请前规则决定；"
湖北农信-公积金贷款（线上转线下）,3、客户发起贷款申请,营销方案（产品）管理组件,"1. 调用时须能唯一识别客户：要么已有登录态和客户标识，要么在申请过程中可通过用户注册组件 + 客户管理组件创建临时客户；
2. 若客户类型为对公，则在发起贷款/用信申请前必须已完成对公客户注册与基础认证（由用户注册组件 + 客户管理组件完成）；
3. 已选定贷款/用信产品及目标授信/额度项（如适用）；
4. 营销方案（产品）管理组件中已配置贷款申请要素与规则；
5. 如产品要求“先预授信/先授权”，需能通过预授信组件或授权准入组件验证对应前置条件，否则可按“直接贷款”模式进入进件",贷款申请组件（渠道端）,"贷款申请组件 → 
营销方案管理组件（申请页初始化）→ 
风控组件（申请前规则包：反欺诈、黑/白名单、产品参数准入，按产品配置）→ 
客户管理组件（补录）→ 
客户授权准入组件 → 
授权配置管理组件 → 
合同管理组件（授权协议可展示内容）→ 
消息/人脸 →
签约组件（授权）→ 
进件管理组件","客户需要先完成注册认证；
申请页初始化由营销方案管理组件提供；
提交前按产品配置执行申请前规则包：未通过则在本阶段直接拦截（不创建进件、也不进入授权）；
通过后才进入授权准入与后续进件；
授权协议展示由合同管理提供；
申请内授权"
湖北农信-公积金贷款（线上转线下）,4、进件接收,贷款申请组件（渠道端）,"1. 传入的申请/进件数据完整（至少包含产品、进件类型、客户标识、基本业务字段）；
2. 对应产品在同步策略表中已有配置；
3. 进件状态机定义完整；
4. 如产品在授权配置中要求「先授权」，则在进件创建或进入关键状态前须可基于授权配置管理组件 + 授权记录校验该前置条件",进件管理组件,"进件管理组件 → 
授权配置管理组件（查询进件规则包 ID）→
客户管理组件 → 
风控组件（规则包由授权配置提供）→ 
[R1]签约组件 
[R3]进件管理组件（转线下，按配置办贷任务类型）","1、晚同步：进件环节至落地进件信息，不同步/评级/授信/用信信息
2、按业务环阶段“产品+贷款进件阶段”查询当前需要执行的规则包
3、R3 转线下"
湖北农信-公积金贷款（线上转线下）,（可选）客户发起提额申请,营销方案（产品）管理组件,"1. 调用时须能唯一识别客户：要么已有登录态和客户标识，要么在申请过程中可通过用户注册组件 + 客户管理组件创建临时客户；
2. 若客户类型为对公，则在发起贷款/用信申请前必须已完成对公客户注册与基础认证（由用户注册组件 + 客户管理组件完成）；
3. 已选定贷款/用信产品及目标授信/额度项（如适用）；
4. 营销方案（产品）管理组件中已配置贷款申请要素与规则；
5. 如产品要求“先预授信/先授权”，需能通过预授信组件或授权准入组件验证对应前置条件，否则可按“直接贷款”模式进入进件
",提额组件（渠道端）,"提额组件 → 
营销方案管理组件（申请页初始化）→ 
风控组件（申请前规则包：反欺诈、黑/白名单、产品参数准入，按产品配置）→ 
消息/人脸 →
签约组件（授权）→ 
进件管理组件","客户需要先完成注册认证；
客户需要有前置的贷款申请；
申请页初始化由营销方案管理组件提供；
提交前按产品配置执行申请前规则包：未通过则在本阶段直接拦截（不创建进件、也不进入授权）；
通过后才进入授权准入与后续进件；
授权协议展示由合同管理提供；
申请内授权"
湖北农信-公积金贷款（线上转线下）,（可选）提额进件接收,提额组件（渠道端）,"1. 传入的申请/进件数据完整（至少包含产品、进件类型、客户标识、基本业务字段）；
2. 对应产品在同步策略表中已有配置；
3. 进件状态机定义完整；
4. 如产品在授权配置中要求「先授权」，则在进件创建或进入关键状态前须可基于授权配置管理组件 + 授权记录校验该前置条件
5、需要有前置的授信申请或贷款申请",进件管理组件,"进件管理组件 → 
授权配置管理组件（查询进件阶段规则包 ID） →
客户管理组件→ 
风控组件（准入，规则包由授权配置提供）→
[R1]签约组件（生成签约任务）
[R3]进件管理组件（转线下，按配置办贷任务类型）","1、晚同步：进件环节至落地进件信息，不同步/评级/授信/用信信息；
2、按业务环阶段“产品+贷款进件阶段”查询当前需要执行的规则包；
3、R1 转线下生成签约任务"
湖北农信-公积金贷款（线上转线下）,5、客户经理个人客户创建,办贷端,"1. 至少具备基础身份/组织信息；
2. 需能区分个人/对公及临时/正式客户状态；
3. 外部来源需提供 external_source + external_customer_id",客户管理组件（办贷端）,客户管理组件,建档/尽调补录
湖北农信-公积金贷款（线上转线下）,6、客户经理线下三合一,授信管理组件（办贷端）,"1. 已有进件或授信申请记录；
2. 必要的评级、押品、风控结果可用（或在办贷任务节点内获取）；
3. 产品配置中定义了授信额度、期限、担保等规则",授信管理组件（办贷端）,"授信管理组件（牵头） → 
评级管理组件 → 
授信管理组件 → 
用信管理组件 → 
风控组件 → 
授信管理组件（牵头提交）",R3 分支：人工三合一
湖北农信-公积金贷款（线上转线下）,7、业务审查审批,工作流/审批流组件（办贷端）,"1. 已定义流程模板（进件路由、多种办贷流程模板如三合一/二合一/单独、审批、利率/额度调整、风险缓释审批、报表审核等）；
2. 办贷任务类型由进件管理在转线下时按配置传入；
3. 发起方传入的业务主键与上下文完整",工作流/审批流组件（办贷端）,"工作流/审批流组件 → 
授信管理组件 → 
合同管理组件 → 
签约组件（生成签约任务）",审批通过后生成合同与签约任务
湖北农信-公积金贷款（线上转线下）,8、客户在线签借款合同,渠道前端,"1. 已存在有效的签约任务或可构造待签任务的上下文（合同实例 ID 或生成条件、进件 ID、客户/关联人信息、产品与任务类型）；
2. 如产品要求签约前风控/授权，需可获取对应规则包 ID 或在签约流程中触发",签约组件（渠道端）,"签约组件 → 
合同管理组件（可展示内容）→ 
消息/人脸/安全 → 
合同管理组件（签署回写）→ 
客户/用信/授信/评级/合同管理组件（SIGNED 时同步）→ 
进件管理组件（状态）",1、晚同步：合同签订完成，同步/评级/授信/用信信息，更新进件状态
公积金贷款（线上）,9、客户发起提款申请,渠道前端,"1. 客户已签署必要合同/放款申请书（视产品而定）；
2. 用信管理组件中存在可提款的用信/合同记录；
3. 额度管理组件中有可用额度；
4. 系统管理中已配置提款前安全验证策略（短信/人脸/密码等）",放款组件（渠道端）,"放款组件（渠道）→ 
用信管理/额度管理/合同管理组件 → 
安全/人脸/消息 → 
签约组件（放款申请书）→ 
放款组件（办贷）→ 
核心系统 → 
进件管理组件","1、一个借款合同项下支持多次提款
2、提款前风控/验证按产品配置
3、提款环节需要签订放款申请书
4、更新进件状态
"
湖南农信-公积金贷款,1、白名单维护,办贷端,"1. 对应阶段的规则包 ID 列表已通过授权配置管理/产品配置等确定；
2. 必要输入数据（客户/进件/授信/用信/押品/外部数据等）可获取或通过征信与外部数据管理组件拉取；
3. 外部数据源与风控引擎自身处于可用状态",名单管理组件,"名单管理组件 → 
风控组件（申请前规则包：反欺诈、黑/白名单、产品参数准入）","1、客户经理维护企业白名单；
2、企业名单下增加客户白名单，调用“申请前规则包”进行业务基础准入，通过后保存名单信息；"
湖南农信-公积金贷款,2、分享营销产品,渠道前端/客户经理（办贷端PAD）,"1. 产品管理中已有可售产品；
2. 客户标签/白名单数据可用；
3. 能识别渠道/入口（channel/scene）及营销活动（campaign/qrCodeId，可选）；
4. 调用方在初始化请求中传入产品/业务标识及页面类型（如 PRE_CREDIT_APPLY/CREDIT_APPLY/LOAN_APPLY/DISBURSE_APPLY 等）",营销方案（产品）管理组件,营销方案管理组件（二维码/链接）,"1、提供营销方案（产品）相关信息查询接口；
2、提供二维码生成服务；
3、提供二维码访问链接；"
湖南农信-公积金贷款,客户注册认证（可选）,渠道前端,"1. 已选定注册渠道与入口（或外部平台标识）；
2. 具备最小身份标识（手机号/证件号等）；
3. 系统管理中已配置对应注册/认证策略；
4. 如需人脸/短信等，多因子策略已生效",用户注册组件（渠道端）,"用户注册组件 → 
客户管理组件、系统管理/消息/人脸/安全",1、允许未注册直接申请，申请中可自动注册；
湖南农信-公积金贷款,3、客户查询产品信息,渠道前端,"1. 产品管理中已有可售产品；
2. 客户标签/白名单数据可用；
3. 能识别渠道/入口（channel/scene）及营销活动（campaign/qrCodeId，可选）；
4. 调用方在初始化请求中传入产品/业务标识及页面类型（如 PRE_CREDIT_APPLY/CREDIT_APPLY/LOAN_APPLY/DISBURSE_APPLY 等）",营销方案（产品）管理组件,"营销方案管理组件 → 
产品管理组件、利率与费用组件、额度管理组件、合同管理组件、预授信组件","1、展示产品列表/详情；
2、本阶段不做黑/白名单拦截，是否可发起申请由后续申请前规则决定；"
湖南农信-公积金贷款,4、客户发起贷款申请,营销方案（产品）管理组件,"1. 调用时须能唯一识别客户：要么已有登录态和客户标识，要么在申请过程中可通过用户注册组件 + 客户管理组件创建临时客户；
2. 若客户类型为对公，则在发起贷款/用信申请前必须已完成对公客户注册与基础认证（由用户注册组件 + 客户管理组件完成）；
3. 已选定贷款/用信产品及目标授信/额度项（如适用）；
4. 营销方案（产品）管理组件中已配置贷款申请要素与规则；
5. 如产品要求“先预授信/先授权”，需能通过预授信组件或授权准入组件验证对应前置条件，否则可按“直接贷款”模式进入进件",贷款申请组件（渠道端）,"贷款申请组件 → 
营销方案管理组件（申请页初始化）→ 
风控组件（申请前规则包：反欺诈、黑/白名单、产品参数准入）→ 
客户授权准入组件 → 
授权配置管理/合同管理组件（授权协议展示）/消息/人脸 → 
签约组件（授权）→ 
进件管理组件；
可选：用户注册+客户管理组件（自动注册/认证）","可临时客户进件；
申请页初始化由营销方案管理组件提供；
因本产品允许未注册直接申请，黑/白名单等业务准入规则在提交贷款申请前统一由风控组件执行申请前规则包：未通过则在本阶段直接拦截（不创建进件、也不进入授权）；
通过后才进入授权准入与后续进件；
授权协议展示由合同管理提供；
申请内授权"
