营销产品,业务阶段,前置组件入口,前置调用条件（被调用前至少满足）,进入组件,进入组件内部处理逻辑,说明
湖南农信-公积金贷款,5、系统进件接收,贷款申请组件（渠道端）,"1. 传入的申请/进件数据完整（至少包含产品、进件类型、客户标识、基本业务字段）；
2. 对应产品在同步策略表中已有配置；
3. 进件状态机定义完整；
4. 如产品在授权配置中要求「先授权」，则在进件创建或进入关键状态前须可基于授权配置管理组件 + 授权记录校验该前置条件",进件管理组件,"进件管理组件 → 
授权配置管理组件（查询进件阶段规则包 ID） → 
客户管理组件（创建）→ 
风控组件（准入，规则包由授权配置提供）→ 
评级管理组件 → 
风控组件（额度）→ 
授信管理组件（初始化）→ 
用信管理组件（初始化）→ 
[≤20W]合同管理组件+签约组件+进件管理组件 
[>20W]进件管理组件（转线下）","1、早同步：进件环节至落地进件信息，同步/评级/授信/用信信息；
2、按业务环阶段“产品+贷款进件阶段”查询当前需要执行的规则包；
3、模型审批审批不通过直接拒绝；
4、模型审批通过20万以下直接生成合同客户线上签订；
5、模型审批通过20万以下需要转线下人工尽调后生成合同；"
湖南农信-公积金贷款,5～7、线下三合一与审批,办贷端-授信管理组件,,"客户管理组件（办贷端）
授信管理组件（办贷端）
工作流/审批流组件（办贷端）",同 1.2 第 5～7 阶段（客户管理组件、授信管理组件、工作流/审批流、合同管理组件、签约组件）,"1、尽调补录 
2、20W以上转线下分支
3、审批通过后生成合同与签约任务"
湖南农信-公积金贷款,8、客户在线签借款合同,渠道前端,"1. 已存在有效的签约任务或可构造待签任务的上下文（合同实例 ID 或生成条件、进件 ID、客户/关联人信息、产品与任务类型）；
2. 如产品要求签约前风控/授权，需可获取对应规则包 ID 或在签约流程中触发",签约组件（渠道端）,"签约组件 → 
用信管理/授信管理/评级管理/合同管理组件（更新）→ 
进件管理组件","1、20万以下线上直接签约分支
2、早同步下为更新而非首次写入"
湖南农信-公积金贷款,9、客户发起提款申请,渠道前端,"1. 客户已签署必要合同/放款申请书（视产品而定）；
2. 用信管理组件中存在可提款的用信/合同记录；
3. 额度管理组件中有可用额度；
4. 系统管理中已配置提款前安全验证策略（短信/人脸/密码等）",放款组件（渠道端）,"放款组件（渠道）→ 
用信管理/额度管理/合同管理组件 → 
安全/人脸/消息 → 
签约组件（放款申请书）→ 
放款组件（办贷）→ 
核心系统 → 
进件管理组件","1、一个借款合同项下支持多次提款
2、提款前风控/验证按产品配置
3、更新进件状态"
长沙银行-税E贷,1、客户注册认证,渠道前端,"1. 已选定注册渠道与入口（或外部平台标识）；
2. 具备最小身份标识（手机号/证件号等）；
3. 系统管理中已配置对应注册/认证策略；
4. 如需人脸/短信等，多因子策略已生效",用户注册组件（渠道端）,"用户注册组件 → 
客户管理组件、系统管理/消息/人脸/安全",1、对公客户办理业务需要先在渠道端先完成注册认证，未完成不得进入后续授权/授信/进件流程
长沙银行-税E贷,2、客户查询产品信息,渠道前端,"1. 产品管理中已有可售产品；
2. 客户标签/白名单数据可用；
3. 能识别渠道/入口（channel/scene）及营销活动（campaign/qrCodeId，可选）；
4. 调用方在初始化请求中传入产品/业务标识及页面类型（如 PRE_CREDIT_APPLY/CREDIT_APPLY/LOAN_APPLY/DISBURSE_APPLY 等）",营销方案（产品）管理组件,"营销方案管理组件 → 
产品管理组件、利率与费用组件、额度管理组件、合同管理组件、预授信组件、名单管理组件 → 
客户授权准入组件","1、展示产品列表/详情、
2、本阶段不做黑/白名单拦截，是否可发起申请由后续申请前规则决定"
长沙银行-税E贷,3、客户授权准入,渠道前端,"1. 已选定产品、客户类型、业务阶段（AUTHORIZATION/LOAN_APPLY/CREDIT_APPLY 等）；
2. 客户及/或关联人已登录/可识别；
3. 授权配置管理中针对「产品+客户类型+阶段」已存在配置（授权文件+适用关联人+规则包 + 授权检查模式）；
4. 同一产品+客户类型+业务阶段下，若已存在有效未到期授权，则无需重新授权；若为补授权场景，可查询到历史授权记录用于提示，并根据“授权检查模式”（强制/仅提示/仅记录）决定缺失授权时是直接拦截还是仅提示后允许继续；
5. （按产品配置）若本产品/阶段已配置前置业务准入规则（如行内规则、黑/白名单、基础参数准入等），则在调用本组件前应由上游完成前置检查且结果通过，检查未通过时不应再发起授权流程",客户授权准入组件,"客户授权准入组件 → 
授权配置管理组件 → 
合同管理组件（授权协议展示）/消息 → 
签约组件（授权）→ 
风控组件（授权准入规则）","1、独立授权阶段，先授权后授信申请
2、强依赖关联人授权（法人、实控人、主股东、关联企业等）"
长沙银行-税E贷,4、客户发起授信申请,授信申请组件（渠道端）,"1. 调用时须能唯一识别客户：要么已有已注册/已认证的客户标识（如 customerId），要么本次申请过程中采集到足够的身份信息，可由客户管理组件创建临时客户；
2. 若客户类型为对公，则在发起授信申请前必须已完成对公客户注册与基础认证（由用户注册组件 + 客户管理组件完成）；
3. 已选定授信产品，且产品管理中已配置授信申请要素与校验规则；
4. 营销方案（产品）管理组件中已配置授信申请要素与规则；
5. 如产品要求“先预授信/先授权”，需能通过预授信组件或授权准入组件验证对应前置条件，否则可按“直接授信”模式进入进件",授信申请组件（渠道端）,"授信申请组件 → 
营销方案管理组件（申请页初始化）→ 
进件管理组件（授信进件）","1、客户需要先完成注册认证；
2、申请页初始化由营销方案管理组件提供；
3、单独的前置授权，渠道进件不重复授权，如果授权到期由客户经理在办贷端补充授权
4、授信进件后转线下审批"
长沙银行-税E贷,5、股东会决议,企业负责人/办贷,"1. 已识别对公客户与企业负责人；
2. 已配置股东会决议适用的产品与场景；
3. 已具备股东名单和通信方式（手机号、邮箱等）",股东会决议组件（渠道端）,"股东会决议组件 → 
征信与外部数据管理组件（工商/司法）→ 
合同管理组件→
合同（协议）模版管理组件→
签约组件 → 
消息中心","1、对公股东会决议签署；先查股东成员再下发签署任务推送签约中心；
2、签约管理组件展示协议模板由合同管理提供
3、发送股东会决议通知"
长沙银行-税E贷,6、系统进件接收,授信申请组件（渠道端）,"1. 传入的申请/进件数据完整（至少包含产品、进件类型、客户标识、基本业务字段）；
2. 对应产品在同步策略表中已有配置；
3. 进件状态机定义完整；
4. 如产品在授权配置中要求「先授权」，则在进件创建或进入关键状态前须可基于授权配置管理组件 + 授权记录校验该前置条件",进件管理组件,"进件管理组件 → 
授权配置管理组件（查询进件阶段规则包 ID） → 
客户管理组件（创建）→ 
风控组件（准入，规则包由授权配置提供）→ 
评级管理组件 → 
风控组件（额度）→ 
授信管理组件（初始化）→ 
用信管理组件（初始化）→ 
进件管理组件（分配）","1、早同步：进件环节至落地进件信息，同步/评级/授信/用信信息（评级+授信+用信：三和一模式同步）；
2、按业务环阶段“产品+授信进件阶段”查询当前需要执行的规则包；
3、模型审批审批不通过直接拒绝；
4、模型审批通过同意转线下客户经理人工处理（全部转人工）；"
长沙银行-税E贷,7、客户经理补录客户信息,办贷端,"1. 至少具备基础身份/组织信息；
2. 需能区分个人/对公及临时/正式客户状态；
3. 外部来源需提供 external_source + external_customer_id",客户管理组件（办贷端）,客户管理组件,建档/尽调补录
长沙银行-税E贷,8～10、利率/额度调整与额度激活,办贷端,"1. 已有进件或授信申请记录；
2. 必要的评级、押品、风控结果可用（或在办贷任务节点内获取）；
3. 产品配置中定义了授信额度、期限、担保等规则","额度管理组件（办贷端）
利率与费用组件（办贷端）","授信管理/额度管理组件 → 
工作流/审批流组件 → 
利率与费用组件/额度管理组件",显式额度激活与用信分离
长沙银行-税E贷,11～12、三合一与审批,办贷端-授信管理组件,,"客户管理组件（办贷端）
授信管理组件（办贷端）
工作流/审批流组件（办贷端）",同 1.2 第 5～7 阶段（客户管理组件、授信管理组件、工作流/审批流、合同管理组件、签约组件）,1、审批通过后生成授信合同与签约任务
长沙银行-税E贷,13、客户在线签授信合同,渠道/进件,"1. 已存在有效的签约任务或可构造待签任务的上下文（合同实例 ID 或生成条件、进件 ID、客户/关联人信息、产品与任务类型）；
2. 如产品要求签约前风控/授权，需可获取对应规则包 ID 或在签约流程中触发",签约组件（渠道端）,"签约组件 → 
合同管理组件（可展示内容）/消息/人脸 → 
用信管理/授信管理/评级管理/合同管理组件（更新）→ 
进件管理组件",多轮签约：先授信合同；展示内容由合同管理提供
长沙银行-税E贷,14、客户发起提款申请,渠道前端,"1. 客户已签署必要合同/放款申请书（视产品而定）；
2. 用信管理组件中存在可提款的用信/合同记录；
3. 额度管理组件中有可用额度；
4. 系统管理中已配置提款前安全验证策略（短信/人脸/密码等）",放款组件（渠道端）,"放款组件（渠道）→ 
用信管理/额度管理/合同管理组件 → 
安全/人脸/消息 → 
签约组件（放款申请书）→ 
放款组件（办贷）→ 
核心系统 → 
进件管理组件","1、一个授信合同项下支持多次提款
2、提款前风控/验证按产品配置
3、更新进件状态
"
长沙银行-政采贷,1、名单信息接收,政采平台/办贷,"1. 对应阶段的规则包 ID 列表已通过授权配置管理/产品配置等确定；
2. 必要输入数据（客户/进件/授信/用信/押品/外部数据等）可获取或通过征信与外部数据管理组件拉取；
3. 外部数据源与风控引擎自身处于可用状态",名单管理组件,名单管理组件,1、政采平台推送白名单（申请前规则包）；
长沙银行-政采贷,2、客户注册认证,渠道前端,"1. 已选定注册渠道与入口（或外部平台标识）；
2. 具备最小身份标识（手机号/证件号等）；
3. 系统管理中已配置对应注册/认证策略；
4. 如需人脸/短信等，多因子策略已生效",用户注册组件（渠道端）,"用户注册组件 → 
客户管理组件、系统管理/消息/人脸/安全",2、对公客户办理业务需要先在渠道端先完成注册认证，未完成不得进入后续授权/授信/进件流程
长沙银行-政采贷,3、客户查询产品信息,渠道前端,"1. 产品管理中已有可售产品；
2. 客户标签/白名单数据可用；
3. 能识别渠道/入口（channel/scene）及营销活动（campaign/qrCodeId，可选）；
4. 调用方在初始化请求中传入产品/业务标识及页面类型（如 PRE_CREDIT_APPLY/CREDIT_APPLY/LOAN_APPLY/DISBURSE_APPLY 等）",营销方案（产品）管理组件,"营销方案管理组件 → 
产品管理组件、利率与费用组件、额度管理组件、合同管理组件、预授信组件、名单管理组件 → 
客户授权准入组件","1、展示产品列表/详情、
2、发起授权申请时，前置检查：判断产品是否有黑/白名单限制及申请客户是否在名单中；检查通过后从产品详情页进入独立的“客户授权准入”阶段"
长沙银行-政采贷,4、客户授权准入,渠道前端,"1. 已选定产品、客户类型、业务阶段（AUTHORIZATION/LOAN_APPLY/CREDIT_APPLY 等）；
2. 客户及/或关联人已登录/可识别；
3. 授权配置管理中针对「产品+客户类型+阶段」已存在配置（授权文件+适用关联人+规则包 + 授权检查模式）；
4. 同一产品+客户类型+业务阶段下，若已存在有效未到期授权，则无需重新授权；若为补授权场景，可查询到历史授权记录用于提示，并根据“授权检查模式”（强制/仅提示/仅记录）决定缺失授权时是直接拦截还是仅提示后允许继续；
5. （按产品配置）若本产品/阶段已配置前置业务准入规则（如行内规则、黑/白名单、基础参数准入等），则在调用本组件前应由上游完成前置检查且结果通过，检查未通过时不应再发起授权流程",客户授权准入组件,"客户授权准入组件 → 
授权配置管理组件（含关联人类型）→ 
合同管理组件（授权协议展示）/消息 → 
签约组件（授权）→ 
风控组件","1、独立授权阶段，先授权后授信申请
2、强依赖关联人授权（法人、实控人、主股东、关联企业等）"
长沙银行-政采贷,5、客户发起授信申请,授信申请组件（渠道端）,"1. 调用时须能唯一识别客户：要么已有已注册/已认证的客户标识（如 customerId），要么本次申请过程中采集到足够的身份信息，可由客户管理组件创建临时客户；
2. 若客户类型为对公，则在发起授信申请前必须已完成对公客户注册与基础认证（由用户注册组件 + 客户管理组件完成）；
3. 已选定授信产品，且产品管理中已配置授信申请要素与校验规则；
4. 营销方案（产品）管理组件中已配置授信申请要素与规则；
5. 如产品要求“先预授信/先授权”，需能通过预授信组件或授权准入组件验证对应前置条件，否则可按“直接授信”模式进入进件",授信申请组件（渠道端）,"授信申请组件 → 
营销方案管理组件（申请页初始化）→ 
进件管理组件（授信进件）","1、客户需要先完成注册认证；
2、申请页初始化由营销方案管理组件提供；
3、单独的前置授权，渠道进件不重复授权，如果授权到期由客户经理在办贷端补充授权
4、授信进件后转线下审批"
长沙银行-政采贷,6、股东会决议,企业负责人/办贷,"1. 已识别对公客户与企业负责人；
2. 已配置股东会决议适用的产品与场景；
3. 已具备股东名单和通信方式（手机号、邮箱等）",股东会决议组件（渠道端）,"股东会决议组件 → 
征信与外部数据管理组件（工商/司法）→ 
合同管理组件→
合同（协议）模版管理组件→
签约组件 → 
消息中心","1、对公股东会决议签署；先查股东成员再下发签署任务推送签约中心；
2、签约管理组件展示协议模板由合同管理提供
3、发送股东会决议通知"
长沙银行-政采贷,6、系统进件接收,授信申请组件（渠道端）,"1. 传入的申请/进件数据完整（至少包含产品、进件类型、客户标识、基本业务字段）；
2. 对应产品在同步策略表中已有配置；
3. 进件状态机定义完整；
4. 如产品在授权配置中要求「先授权」，则在进件创建或进入关键状态前须可基于授权配置管理组件 + 授权记录校验该前置条件",进件管理组件,"进件管理组件 → 
授权配置管理组件（查询进件阶段规则包 ID） → 
客户管理组件（创建）→ 
风控组件（准入，规则包由授权配置提供）→ 
评级管理组件 → 
风控组件（额度）→ 
授信管理组件（初始化）→ 
进件管理组件（分配）","1、早同步：进件环节至落地进件信息，同步/评级/授信信息（评级+授信“二合一模式同步，不生成用信信息）；
2、按业务环阶段“产品+授信进件阶段”查询当前需要执行的规则包；
3、模型审批审批不通过直接拒绝；
4、模型审批通过同意转线下客户经理人工处理（全部转人工）；"
长沙银行-政采贷,7、客户经理补录客户信息,办贷端,"1. 至少具备基础身份/组织信息；
2. 需能区分个人/对公及临时/正式客户状态；
3. 外部来源需提供 external_source + external_customer_id",客户管理组件（办贷端）,客户管理组件,建档/尽调补录
长沙银行-政采贷,8～10、利率/额度调整与额度激活,办贷端,"1. 已有进件或授信申请记录；
2. 必要的评级、押品、风控结果可用（或在办贷任务节点内获取）；
3. 产品配置中定义了授信额度、期限、担保等规则","额度管理组件（办贷端）
利率与费用组件（办贷端）","授信管理/额度管理组件 → 
工作流/审批流组件 → 
利率与费用组件/额度管理组件",显式额度激活与用信分离
长沙银行-政采贷,11～12、二合一与审批,办贷端-授信管理组件,,"客户管理组件（办贷端）
授信管理组件（办贷端）
工作流/审批流组件（办贷端）",同 1.2 第 5～7 阶段（客户管理组件、授信管理组件、工作流/审批流、合同管理组件、签约组件）,评级+授信（二合一模式）生成授信合同与签约任务
长沙银行-政采贷,13、客户在线签授信合同,渠道/进件,"1. 已存在有效的签约任务或可构造待签任务的上下文（合同实例 ID 或生成条件、进件 ID、客户/关联人信息、产品与任务类型）；
2. 如产品要求签约前风控/授权，需可获取对应规则包 ID 或在签约流程中触发",签约组件（渠道端）,"签约组件 → 
合同管理组件（可展示内容）/消息/人脸 → 
授信管理/评级管理/合同管理组件（更新）→ 
进件管理组件",多轮签约：先授信合同；展示内容由合同管理提供
长沙银行-政采贷,13、客户发起贷款申请,营销方案（产品）管理组件,"1. 调用时须能唯一识别客户：要么已有登录态和客户标识，要么在申请过程中可通过用户注册组件 + 客户管理组件创建临时客户；
2. 若客户类型为对公，则在发起贷款/用信申请前必须已完成对公客户注册与基础认证（由用户注册组件 + 客户管理组件完成）；
3. 已选定贷款/用信产品及目标授信/额度项（如适用）；
4. 产品管理中已配置贷款申请要素与规则；
5. 如产品要求“先预授信/先授权”，需能通过预授信组件或授权准入组件验证对应前置条件，否则可按“直接贷款”模式进入进件",贷款申请组件（渠道端）,"贷款申请组件 → 
营销方案管理组件（申请页初始化）→ 
进件管理组件（授信进件）","1、客户需要先完成注册认证；
2、申请页初始化由营销方案管理组件提供；
3、查询可融资采购合同信息，选择合同（单独组件）
4、单独的前置授权，渠道进件不重复授权，如果授权到期由客户经理在办贷端补充授权
3、额度项下发起贷款申请进件后转线下审批"
长沙银行-政采贷,14、系统进件接收,贷款申请组件（渠道端）,"1. 传入的申请/进件数据完整（至少包含产品、进件类型、客户标识、基本业务字段）；
2. 对应产品在同步策略表中已有配置；
3. 进件状态机定义完整；
4. 如产品在授权配置中要求「先授权」，则在进件创建或进入关键状态前须可基于授权配置管理组件 + 授权记录校验该前置条件",进件管理组件,"进件管理组件 → 
授权配置管理组件（查询进件阶段规则包 ID） → 
风控组件（准入，规则包由授权配置提供）→ 
用信管理组件（初始化）→ 
进件管理组件（分配）→","1、早同步：进件环节至落地进件信息，同步用信信息（单独用信同步）；
2、按业务环阶段“产品+贷款进件阶段”查询当前需要执行的规则包；
3、模型审批审批不通过直接拒绝；
4、模型审批通过同意转线下客户经理人工处理（全部转人工）；"
长沙银行-政采贷,15～16、单独用信申请与审批,办贷端-用信管理组件,,"用信管理组件（办贷端）
工作流/审批流组件（办贷端）",用信申报审批阶段（用信管理组件、工作流/审批流、合同管理组件、签约组件）,单独用信申报审批，生成借款合同与签约任务
长沙银行-政采贷,17、客户在线签借款合同,渠道前端,"1. 已存在有效的签约任务或可构造待签任务的上下文（合同实例 ID 或生成条件、进件 ID、客户/关联人信息、产品与任务类型）；
2. 如产品要求签约前风控/授权，需可获取对应规则包 ID 或在签约流程中触发",签约组件（渠道端）,"签约组件 → 
合同管理组件（可展示内容）/消息/人脸 → 
用信管理/授信管理/评级管理/合同管理组件（更新）→ 
进件管理组件",多轮签约：借款合同；展示内容由合同管理提供
长沙银行-政采贷,18、客户发起提款申请,渠道前端,"1. 客户已签署必要合同/放款申请书（视产品而定）；
2. 用信管理组件中存在可提款的用信/合同记录；
3. 额度管理组件中有可用额度；
4. 系统管理中已配置提款前安全验证策略（短信/人脸/密码等）",放款组件（渠道端）,"放款组件（渠道）→ 
用信管理/额度管理/合同管理组件 → 
安全/人脸/消息 → 
签约组件（放款申请书）→ 
放款组件（办贷）→ 
核心系统 → 
进件管理组件","1、一个借款合同项下支持多次提款
2、提款前风控/验证按产品配置
3、更新进件状态
"
