版本里程碑,优先级,阶段,优先级,分层,所属组件,研发内容,预估人月,进度,开始时间,结束时间,新建/优化/不纳入开发,说明
数字化信贷V1.0,P0,平台基础,P0 平台基础,[办贷],合同管理组件,[办贷] 合同管理组件,待估,未启动,待定,待定,优化,子功能：1）合同实例生成接口（基于模板+业务主键）；2）合同状态机（草稿/待签/已签/作废等）；3）合同内容存储与展示接口；4）与签约组件联动（签署结果回写）；5）合同查询与监管/报表视图支持。
,P0,平台基础,P0 平台基础,[办贷],合同（协议）模版管理组件,[办贷] 合同（协议）模版管理组件,待估,未启动,待定,待定,优化,子功能：1）模板元数据管理（类型、编码、版本、适用产品/机构/客户类型）；2）模板内容管理（富文本/HTML/PDF 模板存储与渲染接口）；3）模板发布与禁用控制；4）模板查询接口（按编码/版本拉取）。
,P0,平台基础,P0 平台基础,[办贷],客户管理组件,[办贷] 客户管理组件,待估,未启动,待定,待定,优化,子功能：1）客户主档建模（个人/对公、临时/正式、标识体系）；2）客户信息维护接口（建档、修改、合并、状态管理）；3）外部来源客户接入（含 external_source + external_customer_id 对接）；4）客户查询与视图（按客户号聚合授信/用信/额度等）。
,P0,平台基础,P0 平台基础,[办贷],批处理组件（调度平台）,[办贷] 批处理组件（调度平台）,待估,未启动,待定,待定,优化,子功能：1）批任务定义（任务标识、参数、调度周期、依赖）；2）调度与执行器（串行/并行、分片）；3）执行日志与重试策略；4）告警与运维界面；5）与业务接口的批量调用规范。
,P0,平台基础,P0 平台基础,[办贷],征信与外部数据管理组件,[办贷] 征信与外部数据管理组件,待估,未启动,待定,待定,新建,子功能：1）外部数据源接入适配层（征信、公积金、税务、政采、工商司法等）；2）授权校验与查询留痕（与授权记录联动）；3）查询路由与标准化结果模型；4）推送接收与转发（白名单推送、客户信息推送）；5）监控与对账。
,P0,平台基础,P0 平台基础,[通用],人脸识别与安全通用能力,[通用] 人脸识别与安全通用能力,待估,未启动,待定,待定,新建,子功能：1）人脸比对/活体检测对接与统一封装；2）交易密码/图形验证码等通用安全组件；3）安全策略与风控前置（例如高风险操作触发人脸/短信）；4）安全日志与风险事件记录。
,P0,平台基础,P0 平台基础,[办贷],工作流/审批流组件,[办贷] 工作流/审批流组件,待估,未启动,待定,待定,优化,子功能：1）流程模板建模（流程节点、路由条件、表单配置）；2）任务引擎（任务创建、拾取、流转、挂起/退回）；3）与业务组件集成方式（进件、授信、额度、利率、贷后、报表）；4）权限与队列配置；5）流程监控与查询。
,P0,平台基础,P0 平台基础,[通用],消息中心组件,[通用] 消息中心组件,待估,未启动,待定,待定,优化,子功能：1）通道管理（短信、邮件、站内信）与模板管理；2）发送接口（单发、批量、通知类、验证码类）；3）验证码生命周期管理与校验；4）发送结果回执与失败重试、监控告警。
,P0,平台基础,P0 平台基础,[通用],系统管理组件,[通用] 系统管理组件,待估,未启动,待定,待定,优化,子功能：1）机构/网点/角色/用户管理；2）菜单与权限模型配置；3）参数中心（业务参数、枚举、开关）；4）安全策略配置（密码策略、登录策略、多因子策略）；5）审计日志与操作留痕。
,P0,平台基础,P0 平台基础,[办贷],风控组件（规则引擎）,[办贷] 风控组件（规则引擎）,待估,未启动,待定,待定,新建,子功能：1）规则包模型与执行引擎（支持
,P1,营销与预授信,P1 营销与预授信,[办贷],预授信组件,[办贷] 预授信组件,待估,未启动,待定,待定,新建,子功能：1）预授信记录模型与名单维护；2）外部/政采推送接收与风控调用；3）预授信结果与白名单查询接口供渠道与进件使用。
,P1,营销与预授信,P1 营销与预授信,[渠道],预授信组件,[渠道] 预授信组件,待估,未启动,待定,待定,新建,子功能：1）客户预授信申请入口与表单；2）调用办贷端预授信服务并展示额度结果；3）在申请或进件前查询并展示预授信结果。
,P1,营销与预授信,P1 营销与预授信,[办贷],预授信相关批处理任务,[办贷] 预授信相关批处理任务,待估,未启动,待定,待定,新建,子功能：1）基于税务与政采与缴存等数据批量生成预授信名单；2）调用风控批量执行预授信规则；3）结果落库与监控告警。
,P1,营销与预授信,P1 营销与预授信,[办贷],营销方案管理组件,[办贷] 营销方案管理组件,待估,未启动,待定,待定,新建,子功能：1）营销产品建模与可售产品映射；2）产品列表与详情与申请要素配置；3）为渠道端提供产品与要素查询接口。
,P1,营销与预授信,P1 营销与预授信,[渠道],营销方案管理组件,[渠道] 营销方案管理组件,待估,未启动,待定,待定,新建,子功能：1）产品列表与详情展示按营销方案过滤；2）申请页字段与校验渲染；3）二维码与链接落地页及埋点上报。
,P2,注册与授权,P2 注册与授权,[办贷],授权配置管理组件,[办贷] 授权配置管理组件,待估,未启动,待定,待定,新建,子功能：1）“产品+客户类型+业务阶段”维度配置；2）授权文件（协议编码、适用关联人、是否必签）；3）规则包 ID 绑定；4）授权检查模式配置；5）查询接口供授权准入/进件/签约使用。
,P2,注册与授权,P2 注册与授权,[办贷],授权记录归档与查询能力,[办贷] 授权记录归档与查询能力,待估,未启动,待定,待定,新建,子功能：1）授权记录模型（主体、数据源、有效期、凭证）；2）授权有效性校验服务；3）监管审计查询与导出。
,P2,注册与授权,P2 注册与授权,[渠道],客户授权准入组件,[渠道] 客户授权准入组件,待估,未启动,待定,待定,新建,子功能：1）授权准入流程（独立阶段/嵌入申请）；2）授权文件展示与适用对象处理；3）调用短信/人脸等安全能力；4）调用签约组件签署授权；5）调用风控执行授权准入并展示结果。
,P2,注册与授权,P2 注册与授权,[办贷],签约组件（授权协议场景）,[办贷] 签约组件（授权协议场景）,待估,未启动,待定,待定,新建,子功能：1）授权签约任务模型与管理包括 PAD 入口；2）加载授权协议模板并渲染展示；3）签署结果回写合同管理与授权记录。
,P2,注册与授权,P2 注册与授权,[渠道],签约组件（授权协议场景）,[渠道] 签约组件（授权协议场景）,待估,未启动,待定,待定,新建,子功能：1）渠道端授权协议查看与勾选与签署界面；2）与消息中心与人脸与密码等安全能力联动；3）调用办贷端签约服务完成签署并回显结果。
,P3,申请与进件,P3 申请与进件,[办贷],三合一任务配置与实现,[办贷] 三合一任务配置与实现,待估,未启动,待定,待定,新建,子功能：1）三合一业务模型与流程配置；2）办贷端三合一前端表单与工作流节点；3）节点内风控与额度测算调用；4）额度/授信结果落库与进件状态联动。
,P3,申请与进件,P3 申请与进件,[办贷],押品组件,[办贷] 押品组件,待估,未启动,待定,待定,优化,子功能：1）押品信息与权属证明录入；2）估值模型/渠道对接及估值记录；3）押品与授信/用信/客户关联管理；4）押品价值预警与重估接口。
,P3,申请与进件,P3 申请与进件,[办贷],进件管理组件,[办贷] 进件管理组件,待估,未启动,待定,待定,新建,子功能：1）进件模型与状态机（授信/用信/提额等）；2）进件创建/修改接口；3）进件风控准入（R1/R3/拒绝处理）；4）与工作流/审批流联动；5）驱动客户/评级/授信/用信/额度/合同 upsertByIntake。
,P3,申请与进件,P3 申请与进件,[办贷],利率与费用组件,[办贷] 利率与费用组件,待估,未启动,待定,待定,优化,子功能：1）利率结构与费用规则建模；2）授信/用信定价计算；3）还款本息费/罚息计算；4）向授信/用信/还款/报表输出结果。
,P3,申请与进件,P3 申请与进件,[办贷],授信管理组件,[办贷] 授信管理组件,待估,未启动,待定,待定,优化,子功能：1）授信申请与审批结果管理；2）授信额度/期限/担保信息维护；3）与评级/押品/风控结果联动；4）授信合同生成（调用合同管理/签约）；5）授信数据视图输出。
,P3,申请与进件,P3 申请与进件,[办贷],额度管理组件,[办贷] 额度管理组件,待估,未启动,待定,待定,优化,子功能：1）额度维度与台账管理；2）额度占用/释放接口（放款/还款/调整）；3）额度调整审批流；4）额度阈值路由接口供进件/风控使用。
,P3,申请与进件,P3 申请与进件,[办贷],评级管理组件,[办贷] 评级管理组件,待估,未启动,待定,待定,优化,子功能：1）评级模型与策略配置；2）单笔/批量评级计算；3）结果存储与版本管理；4）对授信/额度/贷后提供评级查询。
,P3,申请与进件,P3 申请与进件,[办贷],提额组件,[办贷] 提额组件,待估,未启动,待定,待定,新建,子功能：1）提额业务配置与入口覆盖授信提额与贷款提额；2）提额进件创建与审批流与风控集成；3）额度调整结果回写额度与授信。
,P3,申请与进件,P3 申请与进件,[渠道],提额组件,[渠道] 提额组件,待估,未启动,待定,待定,新建,子功能：1）渠道端提额申请入口与表单；2）提额前置校验包括对公认证与授权与贷后条件；3）调用办贷端提额服务并展示处理结果。
,P3,申请与进件,P3 申请与进件,[渠道],授信申请组件,[渠道] 授信申请组件,待估,未启动,待定,待定,新建,子功能：1）授信申请入口与表单（按营销方案驱动）；2）客户识别/创建；3）授权/预授信前置校验；4）生成授信进件。
,P3,申请与进件,P3 申请与进件,[渠道],贷款申请组件,[渠道] 贷款申请组件,待估,未启动,待定,待定,新建,子功能：1）贷款/用信申请入口与表单；2）客户识别与额度查询；3）授权/预授信/额度校验；4）生成用信进件并关联授信/额度。
,P4,签约与放款,P4 签约与放款,[办贷],放款组件（办贷端）,[办贷] 放款组件（办贷端）,待估,未启动,待定,待定,优化,子功能：1）放款指令接收与受托支付审批；2）放款前风控执行；3）核心/账务放款接口对接；4）结果回写用信/额度/合同/进件。
,P4,签约与放款,P4 签约与放款,[渠道],放款组件（渠道端）,[渠道] 放款组件（渠道端）,待估,未启动,待定,待定,新建,子功能：1）客户提款/放款入口与表单；2）安全认证；3）可提款额度与合同状态校验；4）放款指令下发至办贷端。
,P4,签约与放款,P4 签约与放款,[办贷],用信管理组件,[办贷] 用信管理组件,待估,未启动,待定,待定,优化,子功能：1）用信申请与审批（含额度/合同前置）；2）放款记录与可提款额度管理；3）还款计划生成与调整；4）用信状态机（已放款/结清/逾期等）；5）与额度/合同/贷后/报表联动。
,P4,签约与放款,P4 签约与放款,[办贷],还款组件（办贷端）,[办贷] 还款组件（办贷端）,待估,未启动,待定,待定,优化,子功能：1）扣款入账（核心/账务对接）；2）减免/展期/冲正等特殊处理；3）还款状态回写用信；4）与贷后/报表数据联动。
,P4,签约与放款,P4 签约与放款,[渠道],还款组件（渠道端）,[渠道] 还款组件（渠道端）,待估,未启动,待定,待定,新建,子功能：1）还款计划/历史展示；2）主动还款/提前结清发起；3）支付渠道与安全校验；4）结果展示与消息通知。
,P4,签约与放款,P4 签约与放款,[办贷],签约组件（合同签署场景）,[办贷] 签约组件（合同签署场景）,待估,未启动,待定,待定,新建,子功能：1）合同签约任务管理包括渠道来源与 PAD 来源与状态；2）合同加载与签署记录落库；3）签约前再次风控可配置及结果处理；4）签署结果回写合同与进件与额度。
,P4,签约与放款,P4 签约与放款,[渠道],签约组件（合同签署场景）,[渠道] 签约组件（合同签署场景）,待估,未启动,待定,待定,新建,子功能：1）渠道端合同签署界面支持授信合同与借款合同等；2）与消息中心与人脸与密码等安全能力联动；3）调用办贷端签约服务并展示签署结果。
数字化信贷V1.1,,移动端（PAD）功能,移动端工作台,,,,,,,,,
,,移动端（PAD）功能,代客进件申请,,,,,,,,,
,,移动端（PAD）功能,尽职调查,,,,,,,,,
,,移动端（PAD）功能,快速扫描拍照上传,,,,,,,,,
,,工作中心（PC）功能,作业中心工作台,,,,,,,,,
,,工作中心（PC）功能,进件申请维护,,,,,,,,,
,,工作中心（PC）功能,集中审查审批,,,,,,,,,
,,工作中心（PC）功能,申请复议,,,,,,,,,
,,工作中心（PC）功能,人工审批处理,,,,,,,,,
,,工作中心（PC）功能,信申请查看,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
