序号,组件名称,业务说明（简要）,详细能力范围
1,用户注册组件,客户注册、身份基础信息、登录验证,"1、支持个人客户注册、对公客户注册，以及第三方平台对接接口注册（如微信、政务/合作平台账号绑定）
2、支持注册过程中采集客户基础信息、联系方式、证件信息等，并与客户管理组件的临时客户/正式客户档案打通
3、支持账号登录、密码校验、图形验证码、短信验证码、人脸识别等多种登录验证方式
4、支持外部业务/合作平台推送客户信息时，根据配置自动为客户生成账号并绑定（自动注册），或仅在客户管理组件中建档，待客户首次登录或办理业务时再完成账号绑定"
2,客户授权准入组件,客户授权协议签署与授权准入校验,"1、在授权准入阶段引导客户阅读授权协议（征信、公积金、政采等），并通过签约组件完成授权协议电子签署
2、按产品 + 业务阶段，从授权配置管理组件获取需要的授权文件及规则包，触发征信与外部数据查询、风控规则执行
3、支撑"独立授权阶段"（先授权再申请）和"申请内嵌授权"两种模式，授权结果回写进件或申请
4、支持多次授权、授权有效期管理，与征信与外部数据管理组件协同记录授权留痕"
3,预授信组件,客户/产品预授信额度管理,"1、支持"产品维度预授信"：按营销方案、批量名单等为符合条件客户预先授予产品额度（白名单），由营销方案管理组件/批处理组件驱动
2、支持"客户维度预授信"：客户主动发起预授信申请，通过进件管理 + 风控 + 授信/额度管理完成额度测算与授信结论
3、支持按产品 + 客户维度配置预授信规则包、可用额度计算逻辑，与风控组件、征信与外部数据管理组件协同
4、预授信结果在额度管理组件中沉淀，可作为后续授信/贷款申请的额度来源或上限约束"
4,授信申请组件,客户在渠道端发起授信申请,"1、引导客户选择产品、录入授信申请信息（授信金额、期限、用途、担保方式等），并上传相关材料
2、与客户授权准入组件集成，支持在授信申请前或申请过程中完成授权准入与授权协议签署
3、将授信申请封装为进件（授信进件），通过进件管理组件接入后续风控、路由（直通/转人工）、三合一任务与审批
4、支持不同授信产品配置不同的申请页面字段集与校验规则，通过产品管理组件/系统管理组件参数化"
5,贷款申请组件,客户在渠道端发起贷款/用信申请,"1、在已有授信额度或预授信额度基础上，采集单笔用信/贷款申请信息（金额、期限、用途、放款方式等）
2、支持对公产品场景下的多种贷款用途、受托支付要求等信息采集
3、将贷款申请封装为用信进件，交由进件管理组件统一接收并驱动风控与后续流程（直通签约、转人工、审批等）
4、支持与额度管理组件联动，校验本次贷款是否在可用额度内，可扩展不同产品的额度占用策略"
6,提额组件,额度提升申请与调额流程前端,"1、支持客户在渠道端发起额度提升申请，采集调额原因、新增资料等信息
2、通过进件管理组件生成"提额进件"，交由风控组件、额度管理组件进行额度重算与风险评估
3、可与工作流/审批流组件集成，对高风险或高额度提额申请走人工审批
4、支持与额度管理组件联动，审批通过后更新额度上限、可用额度，并与进件同步策略联动"
7,股东会决议组件,对公产品股东授权决议线上办理,"1、支持企业在渠道端发起股东会授权决议申请，配置股东名单、表决方式、授权事项等
2、生成股东会决议签约任务，由签约组件通过短信链接或 PAD 现场签约方式下发给各股东
3、与合同（协议）模版管理组件、合同管理组件协同，将股东会决议作为一类"授权决议"协议归档
4、支持与征信与外部数据管理组件集成，对工商/司法信息进行交叉验证"
8,签约组件,授权协议与合同签署公共能力（面客渠道 + 办贷端 PAD）,"1、作为系统统一的签约公共能力组件，支撑授权协议、授信合同、借款合同、放款申请书、股东会决议等多种签约任务类型
2、支持面客渠道（APP、微信、小程序、Web）签约和办贷端 PAD 现场签约，两种入口共用同一套待签任务模型、合同实例与状态机
3、提供待签任务列表、发起签约、加载合同/协议内容、短信/人脸等安全验证、提交签署结果等能力
4、不生成合同实例，合同内容由合同管理组件 + 合同（协议）模版管理组件提供；签约完成后通过进件管理组件触发进件状态迁移（SIGNED）及业务数据同步"
9,放款组件（渠道端）,客户侧放款指令与受托支付指引,"1、在客户侧展示可提款额度和可放款的用信记录，支持客户发起提款/放款申请
2、对需要受托支付的场景，引导客户填写收款方信息、用途信息等，提交给办贷端审批或自动校验
3、与进件管理组件、用信管理组件、放款组件（办贷端）协同，完成放款指令传递
4、支持放款前再次风险校验、人脸/短信等验证（通过签约组件或安全组件）"
10,还款组件（渠道端）,客户侧还款计划查看与主动还款,"1、展示客户贷款账户、还款计划、历史还款记录等信息
2、支持客户主动还款、提前结清、部分提前还款等操作，生成还款指令
3、与还款组件（办贷端）及核心系统/账务系统集成，完成实际扣款与账务处理
4、支持还款提醒通知、逾期提示等客户服务能力"
11,系统管理组件,用户/角色/权限与基础配置管理,"1、统一管理系统用户、机构、岗位、角色与权限，支撑渠道端与办贷端的统一认证授权
2、维护系统级参数（如密码策略、登录安全策略、短信频控、业务开关等）
3、为消息中心、人脸识别、安全组件等通用能力提供策略配置（哪些业务场景启用哪些验证方式）
4、提供菜单配置、操作日志、审计日志等基础运维与安全管控能力"
12,产品管理组件,信贷产品要素与规则配置,"1、维护信贷产品的基本要素（产品类型、币种、期限、计息方式、还款方式等）
2、支持标准产品与定制产品配置，同一通用产品可派生多个机构/渠道专属子产品
3、与进件管理、授信管理、用信管理、利率与费用组件等协同，为各环节提供产品参数
4、支持产品生效/失效、版本管理，以及按机构/渠道的可见性与准入配置"
13,营销方案管理组件,营销活动与白名单配置,"1、配置营销方案（活动名称、时间、适用产品、客户范围、利率优惠等）
2、管理营销白名单、客户名单与导入导出，支持与征信与外部数据管理组件联动筛选目标客群
3、与预授信组件集成，批量触发产品预授信额度生成
4、为渠道端展示营销活动、预授信额度提供数据支撑"
14,授权配置管理组件,授权文件与规则包配置,"1、以"产品 + 业务阶段"为维度，配置需要客户签署的授权文件（征信授权、公积金授权、政采授权等）以及需要执行的规则包
2、为客户授权准入组件、进件管理组件、签约组件提供统一的授权配置查询服务
3、不执行授权流程和规则，仅存储配置；规则执行由风控组件完成，授权签署由签约组件完成
4、支持授权配置的版本管理、按机构/渠道差异化配置"
15,进件管理组件,进件接收、状态机与同步策略执行,"1、统一接收授信进件、贷款/用信进件、提额进件等，维护进件生命周期（RECEIVED、UNDER_REVIEW、APPROVED、SIGNED、DISBURSED、REJECTED 等）
2、在不同状态迁移时，根据《进件中心-业务数据同步策略设计》中的策略表，按产品配置对客户、评级、授信、用信、额度、合同等模块执行幂等 upsertByIntake 或终态确认
3、根据风控准入结果、产品配置驱动路由：直通签约（生成签约任务）、转人工三合一任务、仅人工审批等，并与工作流/审批流组件协同生成待办任务
4、支持"早同步"与"晚同步"两种模式，通过配置决定在 RECEIVED、APPROVED、SIGNED 等节点对业务模块写入或更新数据的时机"
16,客户管理组件,客户档案（临时/正式）与多源建档,"1、维护个人/对公客户档案，包括基础信息、联系方式、证件信息、风险属性、标签等，支持"临时客户"和"正式客户"状态
2、支持多种建档来源：渠道注册、进件过程补录、外部平台客户信息推送等；外部来源通过 external_source + external_customer_id 去重，避免重复建档
3、支持在签约、审批通过或专门建档环节，将临时客户升级为正式客户
4、与评级管理、授信管理、用信管理、额度管理、合同管理等组件通过客户号关联，提供统一客户视图"
17,评级管理组件,客户评级与评分结果管理,"1、对个人/对公客户进行信用评级或评分，支持多种评级模型（内评、外部评分、组合模型等）
2、可在进件接收（早同步）或签约完成（晚同步）时写入评级结果，以进件号/客户号为幂等键
3、与风控组件、征信与外部数据管理组件集成，使用外部数据与内部行为数据作为模型输入
4、为授信管理、额度管理、贷后管理提供评级结果与历史变更记录"
18,授信管理组件,授信申请、审批结论与授信合同,"1、管理授信申请信息（授信额度、期限、用途、担保方式等）及审批结论（通过/拒绝/退回）
2、作为"三合一任务"业务牵头方之一，在三合一提交时汇总评级、授信、用信、额度与风控结果并驱动审批流
3、审批通过后触发合同管理组件生成授信合同，与签约组件协同生成签约任务（面客或 PAD 均可）
4、与额度管理组件集成，记录授信额度、可用额度，支撑后续贷款申请与额度调整"
19,额度管理组件,额度测算、占用与调整,"1、维护客户授信额度、用信额度、可用额度等信息，支持多维度（客户/授信/产品/机构等）管理
2、支持在预授信、授信审批、额度激活、签约、提款等不同业务阶段进行额度测算与额度占用/释放
3、支持额度调整、额度激活等业务，由授信管理组件或渠道端组件发起，审批通过后生效
4、提供额度集中度、限额控制等能力，为监管与内部风险偏好管控提供支撑"
20,用信管理组件,用信/贷款记录与放款前后状态,"1、记录每笔用信/贷款的申请信息、审批结论、合同关联、放款状态等
2、与贷款申请组件、进件管理组件、工作流/审批流组件、合同管理组件协同，完成从用信申请到审批、签约、放款的全流程信息沉淀
3、支持部分提款、多次提款、循环额度用信等复杂用信模式
4、为放款组件、还款组件、贷后管理组件提供用信数据基础"
21,合同管理组件,合同实例生命周期管理,"1、根据合同（协议）模版管理组件提供的模板和业务数据生成合同实例（授信合同、借款合同、放款申请书、授权协议、股东会决议等）
2、维护合同实例与进件、客户、授信、用信等的关联关系，管理合同状态（草稿、待签、已签署、生效、归档等）
3、接收签约组件回传的签署结果，将合同状态更新为已签署/生效，并归档合同文本
4、为签约组件提供合同内容查询与渲染数据，为进件管理组件在 SIGNED 状态下的同步策略提供合同终态确认能力"
22,合同（协议）模版管理组件,合同与协议模板管理,"1、维护各类合同与协议模板（包括条款结构、变量定义、打印版/电子版格式等）
2、支持按合同类型、模板编码、版本号、产品、机构等维度进行模板查询与发布
3、为合同管理组件生成合同实例提供模板与变量规则，为签约组件展示合同/协议内容提供结构
4、支持模板版本管理与生效/失效控制，保证不同时间点生成的合同使用正确版本"
23,押品组件,抵质押物管理,"1、维护抵质押物信息（房产、车辆、存单、票据等），包括估值、权证信息、他项权利、监管方式等
2、与授信管理组件、额度管理组件联动，将押品信息纳入授信额度测算与风险评估
3、支持押品入库、变更、解押等全生命周期管理
4、为贷后管理与预警组件提供押品风险监测基础数据"
24,放款组件（办贷端）,放款指令执行与受托支付,"1、接收来自渠道或内部审批的放款指令，对放款要素进行校验（合同、额度、审批有效性等）
2、支持自助放款与受托支付两类场景，受托支付时对收款方信息、支付路径进行校验
3、与核心系统/账务系统对接，落地放款交易与账务处理
4、与用信管理组件、额度管理组件、还款组件联动，更新用信状态与额度占用"
25,还款组件（办贷端）,还款指令处理与账务对接,"1、接收客户侧或内部系统发起的还款指令（正常还款、提前还款、逾期还款等）
2、与核心系统/账务系统对接，完成还款入账、利息与费用结算、罚息计算等
3、更新用信管理组件中的用信状态与还款计划执行情况"
26,风控组件,规则引擎与评分决策执行,"1、承载征信授权准入、预授信、进件准入、三合一审批前风控、签约前风控、提额、放款前风控等各类规则包执行
2、支持多种规则类型：名单、评分卡、策略树、机器学习模型等，可按产品 + 业务阶段配置
3、与征信与外部数据管理组件、评级管理组件、额度管理组件等协同，对客户及交易进行风险评估
4、输出通过/拒绝/转人工等结论以及风险标签，为进件管理、工作流/审批流组件、授信/用信管理组件提供决策结果"
27,利率与费用组件,利率定价、费用计算与调整,"1、维护产品利率、费率、费用项目及计费方式，支持按客户、产品、渠道、营销方案等维度差异化定价
2、在授信审批、用信申请、合同生成等环节提供定价能力，并将结果写入合同与用信记录
3、支持利率/费用调整业务，配合授信管理、工作流/审批流组件进行发起、审批与生效
4、为还款组件计算利息、本金分解、费用摊销提供利率与费用参数"
28,批处理组件,批量作业与定时任务,"1、承载批量数据处理任务，如批量预授信计算、批量额度调增/调减、批量报送准备、批量对账等
2、支持与营销方案管理组件联动，定期对目标客户群进行预授信或营销任务下发
3、支持对征信与外部数据管理组件的数据进行批量更新或清洗
4、提供任务调度、监控、告警能力"
29,征信与外部数据管理组件,征信与多源外部数据接入与管理,"1、统一管理与央行征信、公积金、税务、政采、司法、工商、社保、公积金、第三方信用评分等外部数据源的对接
2、提供单笔实时查询与批量查询能力，并管理授权凭证、调用日志与数据回溯
3、为风控组件、预授信组件、评级管理组件、贷后管理组件等提供标准化数据服务
4、支持外部平台推送白名单、客户信息或业务状态，并将其转换为内部可用数据（如预授信名单、客户自动建档等）"
30,工作流/审批流组件,流程编排与审批控制,"1、定义和执行进件后的路由流程（直通签约、转人工三合一、仅人工审批等）以及审批流程（多级审批、会签、转签、退回、超时等）
2、在节点完成时回调进件管理组件、授信管理组件等更新状态，并触发生成三合一任务、合同与签约任务
3、支撑利率调整、额度调整、额度激活等业务的审批流
4、提供流程监控、待办管理、意见记录、操作审计等能力"
31,贷后管理/预警组件,贷后监控与风险预警,"1、监控贷款账户的还款行为、账户异常、押品价值变化等，结合外部数据对客户进行风险监测
2、根据预警规则生成贷后检查任务或预警工单，下发给客户经理或专职贷后团队处理
3、记录贷后检查结果、处置措施，与评级管理、授信管理、额度管理组件协同进行风险缓释（如下调额度、收紧准入）
4、为监管报送与内部管理提供贷后风险数据"
32,监管报送与报表组件,监管报送与经营分析报表,"1、根据监管要求生成各类监管报表（如贷款五级分类、集中度、涉农、小微等），并支持在线报送或文件输出
2、提供贷前、贷中、贷后多维度经营分析报表，为管理层决策提供支持
3、从客户管理、授信管理、用信管理、额度管理、贷后管理组件等处汇总数据，形成统一数据出口
4、支持定时报送与临时报送任务配置，以及报表版本管理"
